tweetcreatedts,username,location,retweetcount,text,hashtags
2021-07-06 23:53:47,Hendijancxxx,surabaya.indonesia,0,"@uusbiasaaja Dan itu kejadian yg dialami bapak ane sampe beliau wafat, dan ane ngga bisa ikut makamin gegara PPKM yg ga jelas, mohon do'a jg ya untuk bapak ane",[]
2021-07-06 23:53:27,DSisegar,"Kota Kendari, Sulawesi Tenggar",0,"Sandiaga Uno Dukung PPKM Darurat dan Pengetatan Perjalanan Internasional. Torang Jaga Indonesia
https://t.co/sfI0rIcuzi",[]
2021-07-06 23:53:15,giginpraginanto,,0,"Ini contoh betapa enaknya jadi anak penguasa. Pemerintah pusat pun cuma bisa ""Monggo mas"" https://t.co/Rq6VZQ0eXg",[]
2021-07-06 23:52:59,SaveIDN,Indonesia,2,"Hai kalian yang tetap ngeyel tidak mematuhi aturan PPKM Darurat, apakah kalian harus mati konyol dulu baru kalian bisa sadar bahwa kalian goblok? https://t.co/fOmssvESaf",[]
2021-07-06 23:52:52,beritaislamorg,,1,"Langgar PPKM, Tukang Bubur di Tasikmalaya Didenda Rp 5 Juta https://t.co/UzKClqZzWv",[]
2021-07-06 23:52:37,ayulianing96,Semarang,0,PPKM: Penantian Panjang Kemudian Menikah. 😁,[]
2021-07-06 23:52:34,Abimany86328582,,0,@republikaonline Kalo emang gak boleh dagang PAKE ATURAN LOCKDOWN ketentuan jelas kalo negara memberi segala kebutuhan rakyat....ini gak jelas banyak nama PPKM PSBB ... rakyat juga yang dipencet ... parah,[]
2021-07-06 23:52:17,Kowalskuyyy,"Vespucci Beach, LS",0,Kamu bisa wujudkan dengan cara bikin TikTok semua di Sudirman pada masa PPKM Darurat ini. Ayo!❤️😁 https://t.co/q9KoTNoWv6,[]
2021-07-06 23:52:16,_antaresh29,,10,"ANIES AKHIRNYA MARAH❗

Tapi sayang salah kantor. Karena yang didatangi adalah Kantor asuransi. Dimana perusaan ini adalah perusahaan esensial yang boleh tetap buka meski PPKM. Ini sesuai dengan Instruksi Mendagri No. 15 tahun 2021.
🙈🙈🙈🙈🙈🙈🙈 https://t.co/eGTaGvSr5A",[]
2021-07-06 23:52:06,dvilstonk,bekasi,0,nyatanya ppkm ah sudahlah,[]
2021-07-06 23:51:56,Restikakikuda,"Bogor, Indonesia",0,Dari mulai psbb sampe sekarang ppkm baru pertama kali ngerasain antri masuk stasiun ._.,[]
2021-07-06 23:51:53,Wibowo10Andrik,,0,"Desa kembali memfungsikan pos jaga dan ruang isolasi untuk menunjang PPKM Darurat. 
@jokowi 
@halimiskandarnu 
@kemendespdtt 
@malik_haramain 
@imansyukri 
@yusradaridesa 
@tppkemendes 
@ChoirilAkbar6 
@SukoyoKasekpro https://t.co/RlDHbMANz2",[]
2021-07-06 23:51:42,lantas_semarang,Jl.Ronggolawe No.1 Semarang,2,Dilaporkan pelaksanaan giat PPKM DARURAT tadi Malam penutupan di seputaran Simpang Lima tepatnya di Air Mancur bertujuan untuk menekan penyebaran covid 19 yg berada di wilayah Kota Semarang https://t.co/A7NUhQrVEA,[]
2021-07-06 23:51:40,polsekngawi11,,0,"Selama berlangsungnya PPKM Darurat masuk atau keluar Ngawi harus membawa surat ijin dari desa, surat vaksin dan bukti hasil swab.
#protokolkesehatan 
#prokesketat 
#PPKMDarurat 
#tetappatuhiprotokolkesehatan https://t.co/BgxkSSQBnG","[{'text': 'protokolkesehatan', 'indices': [130, 148]}, {'text': 'prokesketat', 'indices': [150, 162]}, {'text': 'PPKMDarurat', 'indices': [164, 176]}, {'text': 'tetappatuhiprotokolkesehatan', 'indices': [178, 207]}]"
2021-07-06 23:51:23,aditzaldi,"Padang, ID",0,Hamdalah refund travloka 100% karna ppkm,[]
2021-07-06 23:51:19,LittleCaib,Temanggung,3,"@susucapi Dan beginilah suasana PPKM darurat di Wembley, London! Wkkww 😂 https://t.co/3E2toxcnvv",[]
2021-07-06 23:51:16,Yuniatigalihwi1,,0,Patuhi aturan PPKM Darurat. Patuhi protokol kesehatan dan tetap di rumah https://t.co/Dvzov45X2v,[]
2021-07-06 23:51:16,WPurbowiyanto,"Cibinong, Indonesia",0,Yuk dukung PPKM demi menekan angka penularan covid https://t.co/0soaXd7SCT,[]
2021-07-06 23:51:13,RLiputankota,,0,Selain Tipiring Pelanggar PPKM Darurat di Banten Dapat Dikenakan Pasal Berlapis https://t.co/aDVbpC0Adz,[]
2021-07-06 23:51:07,ekonomi_jeblok,Indonesia,17,"Lahaula walakuata illabillah
""Ya ALLAH, selamatkanlah kami, ulama2 khair, sdr2 muslim dari orang2 yang zalim."" 

PSBB, PPKM Mikro, Pak Presiden Kapan Menyerah Darurat 20-7-202, akan trs ada lg hal yg serupa.
modus pendukung trs dijalankan.

#IndonesiaKolaps
#IndonesiaKolaps https://t.co/2BOGQ4TPbT","[{'text': 'IndonesiaKolaps', 'indices': [241, 257]}, {'text': 'IndonesiaKolaps', 'indices': [258, 274]}]"
